time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon	
(0h:00m:03s)	42	2,2,1,1,1;2,2,1,1,1	7	258	225	210	210	1/258	0.974192	1	267	117.295	482.829	2738.46	
(0h:00m:03s)	43	3,3,2;2,2,2,2	8	12	60	55	55	1/12	0.933333	1	101	43.5023	140.89	422.67	
(0h:00m:03s)	44	3,3,2;2,2,2,1,1	8	31	90	78	80	1/31	0.948581	1	128	57.3236	201.126	840.684	
(0h:00m:03s)	45	4,2,1,1;3,2,1,1,1	8	18	150	143	144	1/18	0.977619	1	283	135.729	437.786	1224.77	
(0h:00m:03s)	46	4,2,1,1;2,2,2,1,1	8	39	150	141	142	1/39	0.970749	1	231	103.123	361.404	1463.72	
(0h:00m:03s)	47	3,3,1,1;3,3,1,1	8	4	100	98	98	1/4	0.98	1	308	152.258	414.702	622.054	
(0h:00m:03s)	48	3,3,1,1;3,2,2,1	8	12	100	93	95	1/12	0.968284	1	201	94.8663	296.152	860.994	
(0h:00m:03s)	49	3,3,1,1;2,2,2,2	8	28	100	92	92	1/28	0.951231	1	135	60.6075	209.969	658.283	
(0h:00m:03s)	50	3,3,1,1;3,2,1,1,1	8	30	150	142	142	1/30	0.977077	1	276	132.447	449.721	1443.25	
(0h:00m:03s)	51	3,3,1,1;2,2,2,1,1	8	68	150	137	139	1/68	0.969073	1	208	97.3644	359.789	1546.36	
(0h:00m:03s)	52	3,2,2,1;3,2,2,1	8	24	100	92	93	1/24	0.96	1	164	74.5753	252.145	924.533	
(0h:00m:03s)	53	3,2,2,1;2,2,2,2	8	48	100	89	91	1/48	0.951231	1	135	60.6075	221.021	1392.28	
(0h:00m:03s)	54	3,2,2,1;3,2,1,1,1	8	58	150	140	140	1/58	0.969834	1	220	99.8981	363.59	1475.03	
(0h:00m:03s)	55	3,2,2,1;2,2,2,1,1	8	117	150	135	137	1/117	0.963005	1	181	80.8848	315.444	1959.95	
(0h:00m:03s)	56	2,2,2,2;2,2,2,2	8	90	100	84	84	1/90	0.936569	1	108	45.8795	179.841	1039.36	
(0h:00m:03s)	57	2,2,2,2;3,2,1,1,1	8	108	150	136	136	1/108	0.964087	1	185	83.4157	322.721	1690.19	
(0h:00m:03s)	58	2,2,2,2;2,2,2,1,1	8	204	150	135	135	1/204	0.956297	1	162	67.9931	279.749	2166.5	
(0h:00m:04s)	59	4,1,1,1,1;4,1,1,1,1	8	17	225	218	218	1/17	0.977778	1	313	136.721	438.344	902.472	
(0h:00m:04s)	60	4,1,1,1,1;3,2,1,1,1	8	46	225	216	216	1/46	0.979897	1	332	151.463	534.073	2100.6	
(0h:00m:04s)	61	4,1,1,1,1;2,2,2,1,1	8	84	225	215	215	1/84	0.979185	1	334	146.175	544.731	2854.89	
(0h:00m:04s)	62	3,2,1,1,1;3,2,1,1,1	8	141	225	212	213	1/141	0.977598	1	305	135.6	529.266	3235.32	
(0h:00m:04s)	63	3,2,1,1,1;2,2,2,1,1	8	258	225	210	210	1/258	0.97499	1	269	121.136	498.232	3053.6	
(0h:00m:04s)	64	2,2,2,1,1;2,2,2,1,1	8	453	225	207	209	1/453	0.970222	1	238	101.242	437.36	3137.32	
(0h:00m:05s)	65	3,3,3;2,2,2,2,1	9	36	90	81	81	1/36	0.944444	1	122	52.8242	188.843	1075.36	
(0h:00m:05s)	66	4,3,1,1;3,3,1,1,1	9	6	150	147	147	1/6	0.986667	1	463	229.94	652.464	1087.44	
(0h:00m:05s)	67	4,3,1,1;3,2,2,1,1	9	19	150	142	144	1/19	0.978554	1	295	141.782	459.394	1477.83	
(0h:00m:05s)	68	4,3,1,1;2,2,2,2,1	9	48	150	139	140	1/48	0.970907	1	223	103.697	370.495	1280	
(0h:00m:05s)	69	4,2,2,1;3,3,1,1,1	9	17	150	142	144	1/17	0.97848	1	289	141.284	452.648	1289.25	
(0h:00m:05s)	70	4,2,2,1;3,2,2,1,1	9	36	150	141	142	1/36	0.972736	1	242	110.862	384.797	1442.55	
(0h:00m:05s)	71	4,2,2,1;2,2,2,2,1	9	78	150	138	139	1/78	0.96588	1	198	87.9629	330.144	1949.62	
(0h:00m:05s)	72	3,3,2,1;3,3,2,1	9	13	100	92	95	1/13	0.966691	1	197	90.1793	284.387	728.67	
(0h:00m:05s)	73	3,3,2,1;3,2,2,2	9	27	100	92	93	1/27	0.957133	1	157	69.38	238.03	1020.36	
(0h:00m:05s)	74	3,3,2,1;3,3,1,1,1	9	30	150	141	143	1/30	0.977077	1	279	132.447	449.721	1340.16	
(0h:00m:05s)	75	3,3,2,1;3,2,2,1,1	9	65	150	138	138	1/65	0.969728	1	214	99.5388	366.085	1534.45	
(0h:00m:05s)	76	3,3,2,1;2,2,2,2,1	9	136	150	135	137	1/136	0.962213	1	174	79.1239	312.814	2125.07	
(0h:00m:05s)	77	3,2,2,2;3,2,2,2	9	51	100	88	90	1/51	0.946071	1	128	54.5115	200.999	1126.47	
(0h:00m:05s)	78	3,2,2,2;3,3,1,1,1	9	64	150	136	140	1/64	0.968709	1	210	96.1946	353.663	1374.68	
(0h:00m:05s)	79	3,2,2,2;3,2,2,1,1	9	120	150	135	137	1/120	0.963766	1	184	82.6495	322.771	1827.38	
(0h:00m:06s)	80	3,2,2,2;2,2,2,2,1	9	234	150	135	135	1/234	0.957209	1	159	69.5085	288.918	2440.92	
(0h:00m:06s)	81	4,2,1,1,1;4,2,1,1,1	9	25	225	217	218	1/25	0.981993	1	367	169.452	562.367	1913.93	
(0h:00m:06s)	82	4,2,1,1,1;3,3,1,1,1	9	42	225	216	216	1/42	0.982222	1	368	171.679	598.805	2680.37	
(0h:00m:06s)	83	4,2,1,1,1;3,2,2,1,1	9	85	225	214	214	1/85	0.980004	1	331	152.291	567.641	2734.11	
(0h:00m:06s)	84	4,2,1,1,1;2,2,2,2,1	9	168	225	211	212	1/168	0.975783	1	291	125.202	496.825	3416.15	
(0h:00m:06s)	85	3,3,1,1,1;3,3,1,1,1	9	72	225	215	215	1/72	0.982222	1	376	171.679	629.124	3145.62	
(0h:00m:06s)	86	3,3,1,1,1;3,2,2,1,1	9	152	225	210	212	1/152	0.978658	1	314	142.491	559.08	2843.58	
(0h:00m:07s)	87	3,3,1,1,1;2,2,2,2,1	9	300	225	209	209	1/300	0.974899	1	257	120.686	502.438	3726.71	
(0h:00m:07s)	88	3,2,2,1,1;3,2,2,1,1	9	281	225	207	209	1/281	0.974703	1	267	119.724	495.947	3204.62	
(0h:00m:07s)	89	3,2,2,1,1;2,2,2,2,1	9	516	225	206	208	1/516	0.971189	1	235	104.746	456.565	4198.53	
(0h:00m:09s)	90	2,2,2,2,1;2,2,2,2,1	9	906	225	201	202	1/906	0.966104	1	213	88.5641	404.672	4115.04	
(0h:00m:09s)	91	4,4,1,1;3,3,2,1,1	10	4	150	148	148	1/4	0.986667	1	464	229.94	622.054	933.081	
(0h:00m:09s)	92	4,4,1,1;3,2,2,2,1	10	16	150	141	144	1/16	0.979153	1	303	145.947	464.357	2268.83	
(0h:00m:09s)	93	4,4,1,1;2,2,2,2,2	10	45	150	140	140	1/45	0.961193	1	173	76.9628	276.093	1178.59	
(0h:00m:09s)	94	4,3,2,1;3,3,2,1,1	10	21	150	141	144	1/21	0.977379	1	292	134.258	439.964	1279.58	
(0h:00m:09s)	95	4,3,2,1;3,2,2,2,1	10	49	150	139	140	1/49	0.971575	1	233	106.21	379.937	1884.42	
(0h:00m:09s)	96	4,3,2,1;2,2,2,2,2	10	110	150	136	138	1/110	0.961585	1	174	77.7806	302.18	2105.31	
(0h:00m:09s)	97	3,3,3,1;3,3,3,1	10	10	100	91	95	1/10	0.96	1	167	74.5753	230.259	828.931	
(0h:00m:09s)	98	3,3,3,1;3,3,2,2	10	18	100	92	94	1/18	0.963723	1	177	82.5472	270.091	816.511	
(0h:00m:09s)	99	3,3,3,1;3,3,2,1,1	10	42	150	139	141	1/42	0.973333	1	237	113.417	399.203	1558.79	
(0h:00m:09s)	100	3,3,3,1;3,2,2,2,1	10	87	150	136	138	1/87	0.966282	1	194	89.0485	337.318	1666.83	
(0h:00m:09s)	101	3,3,3,1;2,2,2,2,2	10	180	150	135	135	1/180	0.958856	1	168	72.4157	294.108	2228.55	
(0h:00m:09s)	102	4,2,2,2;3,3,2,1,1	10	42	150	139	141	1/42	0.973333	1	237	113.417	399.203	1520.77	
(0h:00m:10s)	103	4,2,2,2;3,2,2,2,1	10	87	150	138	138	1/87	0.966282	1	194	89.0485	337.318	1686.44	
(0h:00m:10s)	104	4,2,2,2;2,2,2,2,2	10	180	150	135	135	1/180	0.958856	1	168	72.4157	294.108	2248.72	
(0h:00m:10s)	105	3,3,2,2;3,3,2,2	10	34	100	91	91	1/34	0.955436	1	148	66.619	234.136	920.657	
(0h:00m:10s)	106	3,3,2,2;3,3,2,1,1	10	80	150	134	137	1/80	0.96722	1	205	91.6858	344.412	1524.12	
(0h:00m:10s)	107	3,3,2,2;3,2,2,2,1	10	156	150	135	136	1/156	0.960786	1	175	76.1318	304.93	2127.08	
(0h:00m:10s)	108	3,3,2,2;2,2,2,2,2	10	310	150	130	134	1/310	0.954678	1	150	65.4529	278.987	2649.19	
(0h:00m:10s)	109	4,3,1,1,1;4,3,1,1,1	10	9	225	221	221	1/9	0.986667	1	506	229.94	682.873	1138.12	
(0h:00m:10s)	110	4,3,1,1,1;4,2,2,1,1	10	27	225	216	218	1/27	0.984736	1	416	200.458	668.456	2635.93	
(0h:00m:10s)	111	4,3,1,1,1;3,3,2,1,1	10	48	225	215	217	1/48	0.984465	1	417	196.915	693.858	3031.58	
(0h:00m:10s)	112	4,3,1,1,1;3,2,2,2,1	10	112	225	212	213	1/112	0.979762	1	332	150.434	574.487	2942.9	
(0h:00m:11s)	113	4,3,1,1,1;2,2,2,2,2	10	240	225	210	210	1/240	0.97239	1	244	109.434	448.688	2659.63	
(0h:00m:11s)	114	4,2,2,1,1;4,2,2,1,1	10	54	225	215	216	1/54	0.981717	1	366	166.847	595.999	2270.15	
(0h:00m:11s)	115	4,2,2,1,1;3,3,2,1,1	10	99	225	212	213	1/99	0.981068	1	337	161.026	607.604	2901.86	
(0h:00m:11s)	116	4,2,2,1,1;3,2,2,2,1	10	198	225	211	211	1/198	0.976474	1	286	128.97	518.396	3146.02	
(0h:00m:11s)	117	4,2,2,1,1;2,2,2,2,2	10	390	225	207	209	1/390	0.972182	1	247	108.592	462.783	4523.2	
(0h:00m:11s)	118	3,3,2,1,1;3,3,2,1,1	10	186	225	208	211	1/186	0.977467	1	301	134.794	538.48	3375.85	
(0h:00m:12s)	119	3,3,2,1,1;3,2,2,2,1	10	358	225	204	208	1/358	0.973752	1	258	115.276	487.215	3552.5	
(0h:00m:13s)	120	3,3,2,1,1;2,2,2,2,2	10	680	225	204	206	1/680	0.968986	1	222	97.0815	433.019	4710.32	
(0h:00m:14s)	121	3,2,2,2,1;3,2,2,2,1	10	645	225	201	204	1/645	0.970434	1	231	101.99	452.448	3840.44	
(0h:00m:16s)	122	3,2,2,2,1;2,2,2,2,2	10	1170	225	199	199	1/1170	0.965473	1	207	86.8897	404.687	4081.59	
(0h:00m:22s)	123	2,2,2,2,2;2,2,2,2,2	10	2040	225	198	200	1/2040	0.962586	1	194	79.9439	388.313	4350.53	
