time	line	instance	edges	omega	degree	minloops	maxloops	pimin	lambda	[lambda>0]	mix	leigen	ueigen	ucanon
(0h:00m:00s)	1	1,0,0,0,0,0;1,0,0,0,0,0	1	1	441	441	441	1	NA	NA	0	NA	NA	NA
(0h:00m:00s)	2	2,0,0,0,0,0;2,0,0,0,0,0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	3	2,0,0,0,0,0;1,1,0,0,0,0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	4	1,1,0,0,0,0;1,1,0,0,0,0	2	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676
(0h:00m:00s)	5	3,0,0,0,0,0;3,0,0,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	6	3,0,0,0,0,0;2,1,0,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	7	3,0,0,0,0,0;1,1,1,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	8	2,1,0,0,0,0;2,1,0,0,0,0	3	1	441	441	441	1	NA	NA	0	NA	NA	NA
(0h:00m:00s)	9	2,1,0,0,0,0;1,1,1,0,0,0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	10	1,1,1,0,0,0;1,1,1,0,0,0	3	6	441	438	438	1/6	0.993197	1	953	453.666	1278.83	3197.07
(0h:00m:00s)	11	4,0,0,0,0,0;4,0,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	12	4,0,0,0,0,0;3,1,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	13	4,0,0,0,0,0;2,2,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	14	4,0,0,0,0,0;2,1,1,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	15	4,0,0,0,0,0;1,1,1,1,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	16	3,1,0,0,0,0;3,1,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	17	3,1,0,0,0,0;2,2,0,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	18	3,1,0,0,0,0;2,1,1,0,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	19	3,1,0,0,0,0;1,1,1,1,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	20	2,2,0,0,0,0;2,2,0,0,0,0	4	1	441	441	441	1	NA	NA	0	NA	NA	NA
(0h:00m:00s)	21	2,2,0,0,0,0;2,1,1,0,0,0	4	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676
(0h:00m:00s)	22	2,2,0,0,0,0;1,1,1,1,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	23	2,1,1,0,0,0;2,1,1,0,0,0	4	5	441	438	438	1/5	0.993197	1	912	453.666	1252.03	2253.65
(0h:00m:00s)	24	2,1,1,0,0,0;1,1,1,1,0,0	4	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	25	1,1,1,1,0,0;1,1,1,1,0,0	4	24	441	435	435	1/24	0.99093	1	773	339.473	1111.96	4262.52
(0h:00m:00s)	26	5,0,0,0,0,0;5,0,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	27	5,0,0,0,0,0;4,1,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	28	5,0,0,0,0,0;3,2,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	29	5,0,0,0,0,0;3,1,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	30	5,0,0,0,0,0;2,2,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	31	5,0,0,0,0,0;2,1,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	32	5,0,0,0,0,0;1,1,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	33	4,1,0,0,0,0;4,1,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	34	4,1,0,0,0,0;3,2,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	35	4,1,0,0,0,0;3,1,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	36	4,1,0,0,0,0;2,2,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	37	4,1,0,0,0,0;2,1,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	38	4,1,0,0,0,0;1,1,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	39	3,2,0,0,0,0;3,2,0,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	40	3,2,0,0,0,0;3,1,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	41	3,2,0,0,0,0;2,2,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	42	3,2,0,0,0,0;2,1,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	43	3,2,0,0,0,0;1,1,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	44	3,1,1,0,0,0;3,1,1,0,0,0	5	1	441	441	441	1	NA	NA	0	NA	NA	NA
(0h:00m:00s)	45	3,1,1,0,0,0;2,2,1,0,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	46	3,1,1,0,0,0;2,1,1,1,0,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	47	3,1,1,0,0,0;1,1,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	48	2,2,1,0,0,0;2,2,1,0,0,0	5	5	441	437	438	1/5	0.993197	1	912	453.666	1252.03	2253.65
(0h:00m:00s)	49	2,2,1,0,0,0;2,1,1,1,0,0	5	12	441	435	436	1/12	0.991616	1	790	367.528	1120.34	3106.62
(0h:00m:00s)	50	2,2,1,0,0,0;1,1,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	51	2,1,1,1,0,0;2,1,1,1,0,0	5	27	441	434	434	1/27	0.990322	1	707	317.965	1054.32	3833.15
(0h:00m:00s)	52	2,1,1,1,0,0;1,1,1,1,1,0	5	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	53	1,1,1,1,1,0;1,1,1,1,1,0	5	120	441	431	431	1/120	0.988662	1	641	270.957	1031.52	5458.46
(0h:00m:00s)	54	6,0,0,0,0,0;6,0,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	55	6,0,0,0,0,0;5,1,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	56	6,0,0,0,0,0;4,2,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	57	6,0,0,0,0,0;3,3,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	58	6,0,0,0,0,0;4,1,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	59	6,0,0,0,0,0;3,2,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	60	6,0,0,0,0,0;2,2,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	61	6,0,0,0,0,0;3,1,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	62	6,0,0,0,0,0;2,2,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	63	6,0,0,0,0,0;2,1,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	64	6,0,0,0,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	65	5,1,0,0,0,0;5,1,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	66	5,1,0,0,0,0;4,2,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	67	5,1,0,0,0,0;3,3,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	68	5,1,0,0,0,0;4,1,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	69	5,1,0,0,0,0;3,2,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	70	5,1,0,0,0,0;2,2,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	71	5,1,0,0,0,0;3,1,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	72	5,1,0,0,0,0;2,2,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	73	5,1,0,0,0,0;2,1,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	74	5,1,0,0,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	75	4,2,0,0,0,0;4,2,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	76	4,2,0,0,0,0;3,3,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	77	4,2,0,0,0,0;4,1,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	78	4,2,0,0,0,0;3,2,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	79	4,2,0,0,0,0;2,2,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	80	4,2,0,0,0,0;3,1,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	81	4,2,0,0,0,0;2,2,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	82	4,2,0,0,0,0;2,1,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	83	4,2,0,0,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	84	3,3,0,0,0,0;3,3,0,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	85	3,3,0,0,0,0;4,1,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	86	3,3,0,0,0,0;3,2,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	87	3,3,0,0,0,0;2,2,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	88	3,3,0,0,0,0;3,1,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	89	3,3,0,0,0,0;2,2,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	90	3,3,0,0,0,0;2,1,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	91	3,3,0,0,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	92	4,1,1,0,0,0;4,1,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	93	4,1,1,0,0,0;3,2,1,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	94	4,1,1,0,0,0;2,2,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	95	4,1,1,0,0,0;3,1,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	96	4,1,1,0,0,0;2,2,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	97	4,1,1,0,0,0;2,1,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	98	4,1,1,0,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	99	3,2,1,0,0,0;3,2,1,0,0,0	6	1	441	441	441	1	NA	NA	0	NA	NA	NA
(0h:00m:00s)	100	3,2,1,0,0,0;2,2,2,0,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	101	3,2,1,0,0,0;3,1,1,1,0,0	6	3	441	439	439	1/3	0.993197	1	953	453.666	1176.94	1176.94
(0h:00m:00s)	102	3,2,1,0,0,0;2,2,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	103	3,2,1,0,0,0;2,1,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	104	3,2,1,0,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	105	2,2,2,0,0,0;2,2,2,0,0,0	6	6	441	438	438	1/6	0.993197	1	953	453.666	1278.83	3197.07
(0h:00m:00s)	106	2,2,2,0,0,0;3,1,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:00s)	107	2,2,2,0,0,0;2,2,1,1,0,0	6	15	441	433	433	1/15	0.99093	1	714	339.473	1060.14	2544.34
(0h:00m:00s)	108	2,2,2,0,0,0;2,1,1,1,1,0	6	36	441	432	432	1/36	0.988662	1	609	270.957	925.33	4498.13
(0h:00m:00s)	109	2,2,2,0,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:01s)	110	3,1,1,1,0,0;3,1,1,1,0,0	6	10	441	436	436	1/10	0.99093	1	745	339.473	1015.44	2030.88
(0h:00m:01s)	111	3,1,1,1,0,0;2,2,1,1,0,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:01s)	112	3,1,1,1,0,0;2,1,1,1,1,0	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:01s)	113	3,1,1,1,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:01s)	114	2,2,1,1,0,0;2,2,1,1,0,0	6	34	441	432	432	1/34	0.989895	1	663	304.386	1032.54	3924.76
(0h:00m:01s)	115	2,2,1,1,0,0;2,1,1,1,1,0	6	78	441	430	431	1/78	0.988662	1	592	270.957	993.526	4330.75
(0h:00m:01s)	116	2,2,1,1,0,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:01s)	117	2,1,1,1,1,0;2,1,1,1,1,0	6	168	441	429	429	1/168	0.987668	1	572	248.862	975.644	5242.82
(0h:00m:01s)	118	2,1,1,1,1,0;1,1,1,1,1,1	6	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	119	1,1,1,1,1,1;1,1,1,1,1,1	6	720	441	426	426	1/720	0.986395	1	551	225.28	991.295	6790.37
(0h:00m:02s)	120	6,1,0,0,0,0;6,1,0,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	121	6,1,0,0,0,0;5,2,0,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	122	6,1,0,0,0,0;4,3,0,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	123	6,1,0,0,0,0;5,1,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	124	6,1,0,0,0,0;4,2,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	125	6,1,0,0,0,0;3,3,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	126	6,1,0,0,0,0;3,2,2,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	127	6,1,0,0,0,0;4,1,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	128	6,1,0,0,0,0;3,2,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	129	6,1,0,0,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	130	6,1,0,0,0,0;3,1,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	131	6,1,0,0,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	132	6,1,0,0,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	133	5,2,0,0,0,0;5,2,0,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	134	5,2,0,0,0,0;4,3,0,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	135	5,2,0,0,0,0;5,1,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	136	5,2,0,0,0,0;4,2,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	137	5,2,0,0,0,0;3,3,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	138	5,2,0,0,0,0;3,2,2,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	139	5,2,0,0,0,0;4,1,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	140	5,2,0,0,0,0;3,2,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	141	5,2,0,0,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	142	5,2,0,0,0,0;3,1,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	143	5,2,0,0,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	144	5,2,0,0,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	145	4,3,0,0,0,0;4,3,0,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	146	4,3,0,0,0,0;5,1,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	147	4,3,0,0,0,0;4,2,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	148	4,3,0,0,0,0;3,3,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	149	4,3,0,0,0,0;3,2,2,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	150	4,3,0,0,0,0;4,1,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	151	4,3,0,0,0,0;3,2,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	152	4,3,0,0,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	153	4,3,0,0,0,0;3,1,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	154	4,3,0,0,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	155	4,3,0,0,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	156	5,1,1,0,0,0;5,1,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	157	5,1,1,0,0,0;4,2,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	158	5,1,1,0,0,0;3,3,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	159	5,1,1,0,0,0;3,2,2,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	160	5,1,1,0,0,0;4,1,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	161	5,1,1,0,0,0;3,2,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	162	5,1,1,0,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	163	5,1,1,0,0,0;3,1,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	164	5,1,1,0,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	165	5,1,1,0,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	166	4,2,1,0,0,0;4,2,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	167	4,2,1,0,0,0;3,3,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	168	4,2,1,0,0,0;3,2,2,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	169	4,2,1,0,0,0;4,1,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	170	4,2,1,0,0,0;3,2,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	171	4,2,1,0,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	172	4,2,1,0,0,0;3,1,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	173	4,2,1,0,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	174	4,2,1,0,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	175	3,3,1,0,0,0;3,3,1,0,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	176	3,3,1,0,0,0;3,2,2,0,0,0	7	1	441	441	441	1	NA	NA	0	NA	NA	NA
(0h:00m:02s)	177	3,3,1,0,0,0;4,1,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	178	3,3,1,0,0,0;3,2,1,1,0,0	7	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676
(0h:00m:02s)	179	3,3,1,0,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	180	3,3,1,0,0,0;3,1,1,1,1,0	7	6	441	437	437	1/6	0.99093	1	686	339.473	959.122	1918.24
(0h:00m:02s)	181	3,3,1,0,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	182	3,3,1,0,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	183	3,2,2,0,0,0;3,2,2,0,0,0	7	2	441	440	440	1/2	0.995465	1	1368	682.053	1676	1676
(0h:00m:02s)	184	3,2,2,0,0,0;4,1,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	185	3,2,2,0,0,0;3,2,1,1,0,0	7	5	441	438	438	1/5	0.993197	1	912	453.666	1252.03	2253.65
(0h:00m:02s)	186	3,2,2,0,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	187	3,2,2,0,0,0;3,1,1,1,1,0	7	12	441	436	436	1/12	0.99093	1	759	339.473	1035.54	3106.62
(0h:00m:02s)	188	3,2,2,0,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	189	3,2,2,0,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	190	4,1,1,1,0,0;4,1,1,1,0,0	7	1	441	441	441	1	NA	NA	0	NA	NA	NA
(0h:00m:02s)	191	4,1,1,1,0,0;3,2,1,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	192	4,1,1,1,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	193	4,1,1,1,0,0;3,1,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	194	4,1,1,1,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	195	4,1,1,1,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	196	3,2,1,1,0,0;3,2,1,1,0,0	7	13	441	435	436	1/13	0.992447	1	878	408.287	1254.15	3213.43
(0h:00m:02s)	197	3,2,1,1,0,0;2,2,2,1,0,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	198	3,2,1,1,0,0;3,1,1,1,1,0	7	34	441	433	433	1/34	0.99093	1	700	339.473	1150.36	3654.09
(0h:00m:02s)	199	3,2,1,1,0,0;2,2,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	200	3,2,1,1,0,0;2,1,1,1,1,1	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	201	2,2,2,1,0,0;2,2,2,1,0,0	7	51	441	429	432	1/51	0.987771	1	577	250.992	886.404	4592.79
(0h:00m:02s)	202	2,2,2,1,0,0;3,1,1,1,1,0	7	0	0	0	0	0	NA	NA	NA	NA	NA	NA
(0h:00m:02s)	203	2,2,2,1,0,0;2,2,1,1,1,0	7	117	441	427	428	1/117	0.987599	1	543	247.46	941.042	4838.53
(0h:00m:03s)	204	2,2,2,1,0,0;2,1,1,1,1,1	7	270	441	425	426	1/270	0.986395	1	505	225.28	919.204	6148.45
(0h:00m:03s)	205	3,1,1,1,1,0;3,1,1,1,1,0	7	88	441	430	430	1/88	0.988145	1	573	259.005	960.372	4393.22
